id,member_id,genre_kor,nickname,title,description,cover_url,status,total_heart_count,total_view_count,favor_count,created_at,updated_at,deleted_at,score
1,5cadb5cd-5477-495e-a2e1-39f6c4ca9574,"드라마,로맨스,학교,초자연적",0번째 사람,Kimi no Na wa.,Kimi no Na wa.에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/5/87048.webp?s=af84814ef9799d83545dd34b2eb9b0c4,ACTIVE,1,200630,111,2023-06-27 00:33:14.962273,,,9.37
2,e3cf797d-8a4e-4283-baf9-415bd27999ba,"SF,스릴러",1번째 사람,Steins;Gate,Steins;Gate에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1611/112806.webp?s=c57bd8d7de7a2a26ac433fac453ddb95,ACTIVE,24,673572,242424,2023-06-27 00:33:14.962273,,,9.17
3,ebcc0bec-4214-4235-9c6b-6e2c0ed42361,"드라마,군대,SF,우주",2번째 사람,Ginga Eiyuu Densetsu,Ginga Eiyuu Densetsu에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/13/13225.webp?s=870c027e501f48ad85569fc4fa848cb2,ACTIVE,110,80679,110110110,2023-06-27 00:33:14.962273,,,9.11
4,5f7e83fe-814f-424b-b920-9be9cb07645b,"드라마,판타지,로맨스,일상,초자연적",3번째 사람,Clannad: After Story,Clannad: After Story에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1299/110774.webp?s=11ca833f67fdd47c38684c030532989d,ACTIVE,24,456749,242424,2023-06-27 00:33:14.962273,,,9.06
5,b106e908-e20e-4307-99e9-c854baf93637,"액션,드라마,메카,군대,SF,슈퍼파워",4번째 사람,Code Geass: Hangyaku no Lelouch R2,Code Geass: Hangyaku no Lelouch R2에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1088/135089.webp?s=6b675b73f810dc91be5ec88fe871a266,ACTIVE,25,572888,252525,2023-06-27 00:33:14.962273,,,8.98
6,9e4424b2-5856-40c9-a516-234086e83f6e,"모험,드라마,초자연적",5번째 사람,Sen to Chihiro no Kamikakushi,Sen to Chihiro no Kamikakushi에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/6/79597.webp?s=2e5ec7a09615356a24311f1f13752b84,ACTIVE,1,466254,111,2023-06-27 00:33:14.962273,,,8.93
7,f09fefd9-0f08-44be-9dfd-ffa05d9b896d,"판타지,일상",6번째 사람,Ookami Kodomo no Ame to Yuki,Ookami Kodomo no Ame to Yuki에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/9/35721.webp?s=0a4dcfc727f09a41cfb435cabc1739dc,ACTIVE,1,226193,111,2023-06-27 00:33:14.962273,,,8.84
8,ef403b79-65ed-4c70-825a-78a357678ae4,"액션,메카,군대,학교,SF,슈퍼파워",7번째 사람,Code Geass: Hangyaku no Lelouch,Code Geass: Hangyaku no Lelouch에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1032/135088.webp?s=fd1638a1d8b2a78f85984322709101db,ACTIVE,25,715151,252525,2023-06-27 00:33:14.962273,,,8.83
9,ff0e8b78-704a-479a-b152-0fa036c3a6e5,"액션,드라마,역사,무술,로맨스,사무라이",8번째 사람,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1391/120839.webp?s=302cea15e60dbf9a03faf5c98819a168,ACTIVE,4,129307,444,2023-06-27 00:33:14.962273,,,8.83
10,c3a89332-ddc1-4841-acc3-ffbd96bc02e1,"액션,모험,코미디,드라마,SF,우주",9번째 사람,Cowboy Bebop,Cowboy Bebop에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1439/93480.webp?s=eb190be2195ed7c02080212a4be27f3e,ACTIVE,26,486824,262626,2023-06-27 00:33:14.962273,,,8.82
11,fe96bc84-d6c9-432f-858a-90fc27c61af0,"액션,모험,판타지",10번째 사람,Mononoke Hime,Mononoke Hime에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/7/75919.webp?s=d4ad1d2e8f565121da83565fa6dbbbe8,ACTIVE,1,339556,111,2023-06-27 00:33:14.962273,,,8.81
12,97a2218c-2387-4417-838f-f433a1a0ca8d,"코미디,미스터리,로맨스,학교,SF,초자연적",11번째 사람,Suzumiya Haruhi no Shoushitsu,Suzumiya Haruhi no Shoushitsu에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1248/112352.webp?s=444debc18a1253b95d25f32f2a2c009b,ACTIVE,1,240297,111,2023-06-27 00:33:14.962273,,,8.81
13,b6f0612c-fd1a-4820-9662-795907f25d8b,"코미디,미스터리,로맨스,초자연적,뱀파이어",12번째 사람,Monogatari Series: Second Season,Monogatari Series: Second Season에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1807/121534.webp?s=36ca446e7bf7322cda40b12a3d2b0117,ACTIVE,26,205959,262626,2023-06-27 00:33:14.962273,,,8.8
14,0799f5ec-7509-44ef-91e0-d15314073af1,"액션,모험,코미디,메카,SF",13번째 사람,Tengen Toppa Gurren Lagann,Tengen Toppa Gurren Lagann에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/4/5123.webp?s=8d2d2c3ba063a724a7f16d9ad891b6fd,ACTIVE,27,562962,272727,2023-06-27 00:33:14.962273,,,8.78
15,9e1b8ead-5520-44e6-9de9-66e0d1129b44,"모험,드라마,판타지,로맨스",14번째 사람,Howl no Ugoku Shiro,Howl no Ugoku Shiro에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/5/75810.webp?s=c65dfed594df2695b9199d09ba604554,ACTIVE,1,333186,111,2023-06-27 00:33:14.962273,,,8.74
16,8bfc2511-66be-40cd-9ef2-eeeef80a1043,"액션,판타지,초자연적,스릴러",15번째 사람,Fate/Zero 2nd Season,Fate/Zero 2nd Season에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1522/117645.webp?s=8e92323e8efe9775c7581b6eac61f6a9,ACTIVE,12,340973,121212,2023-06-27 00:33:14.962273,,,8.73
17,42b80410-78e3-4340-a34d-3d1374bffcf5,"액션,미스터리,초자연적,뱀파이어",16번째 사람,Kizumonogatari II: Nekketsu-hen,Kizumonogatari II: Nekketsu-hen에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1981/112812.webp?s=05e278ee628c6cbd50cff43327ba04ff,ACTIVE,1,34347,111,2023-06-27 00:33:14.962273,,,8.73
18,25056aec-b563-4c36-a84c-95a6b8998a0a,"미스터리,경찰,심리,초자연적,스릴러",17번째 사람,Death Note,Death Note에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/manga/1/258245.webp?s=e91d83ba276d9b3798b18e9c3890382f,ACTIVE,37,1013917,373737,2023-06-27 00:33:14.962273,,,8.71
19,af1a498f-bcb9-4650-9722-5f8015cce3a3,"코미디,패러디",18번째 사람,Gintama°: Aizome Kaori-hen,Gintama°: Aizome Kaori-hen에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1962/133573.webp?s=dfab6c6b7a3d0a76d92607b2b79971e4,ACTIVE,2,16947,222,2023-06-27 00:33:14.962273,,,8.69
20,47768600-6c11-42e5-8672-e6f709939704,"액션,드라마,미스터리,로맨스,초자연적,스릴러",19번째 사람,Kara no Kyoukai 5: Mujun Rasen,Kara no Kyoukai 5: Mujun Rasen에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1574/112838.webp?s=1a13fb7a7b007a520f632f6fde30095f,ACTIVE,1,111074,111,2023-06-27 00:33:14.962273,,,8.68
21,01d0579d-742f-4294-a3bf-e5150c65ac11,"미스터리,심리,로맨스",20번째 사람,Yojouhan Shinwa Taikei,Yojouhan Shinwa Taikei에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1633/123689.webp?s=570fd45511cebcdf8cd286f6a3af43fb,ACTIVE,11,122531,111111,2023-06-27 00:33:14.962273,,,8.65
22,cdcb7874-655c-46dd-8652-4a0701a8684f,"드라마,판타지,심리,스릴러",21번째 사람,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero kara Hajimeru Isekai Seikatsu에 대한 작품 줄거리 입니다,https://cdn.myanimelist.net/r/100x140/images/anime/1238/104023.webp?s=16c2924be8f5f8ee380431da5af86788,ACTIVE,25,355839,252525,2023-06-27 00:33:14.962273,,,8.64
